epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.093,1.3856,2.09079,1.51559,0.85933,0.30112,0.47008,0.22809,1.42075,3.1671,1.84945,0.000649123,0.000649123,0.000649123
2,411.547,1.47587,1.72493,1.55836,0.45045,0.42355,0.34945,0.15074,1.89058,2.96358,2.60057,0.00125066,0.00125066,0.00125066
3,691.957,1.46963,1.64259,1.58023,0.51884,0.50558,0.48785,0.19054,1.76205,2.55642,2.40099,0.00178619,0.00178619,0.00178619
4,838.529,1.49247,1.50354,1.59243,0.52597,0.48327,0.50717,0.21845,1.84321,2.5502,2.36777,0.001703,0.001703,0.001703
5,996.905,1.5409,1.49288,1.60454,0.52958,0.47955,0.48951,0.2017,1.72085,2.5191,2.07123,0.001604,0.001604,0.001604
6,1181.92,1.45528,1.42303,1.55287,0.53007,0.51157,0.46345,0.17386,1.94802,2.26836,2.48143,0.001505,0.001505,0.001505
7,1359.82,1.43636,1.29139,1.53254,0.69307,0.71747,0.72388,0.33974,1.63797,2.16191,2.08891,0.001406,0.001406,0.001406
8,1630.29,1.42162,1.24996,1.51436,0.75555,0.68401,0.74415,0.33885,1.73813,1.51352,2.06351,0.001307,0.001307,0.001307
9,1865.82,1.4138,1.19049,1.51576,0.77644,0.65428,0.75151,0.38809,1.54871,1.38282,1.89187,0.001208,0.001208,0.001208
10,2114.59,1.40916,1.15019,1.50384,0.8251,0.78918,0.82308,0.41058,1.55117,1.26739,1.83135,0.001109,0.001109,0.001109
11,2320.51,1.42981,1.20457,1.55476,0.79677,0.7658,0.81642,0.43679,1.45717,1.24458,1.75302,0.00101,0.00101,0.00101
12,2598.66,1.37969,1.06718,1.55745,0.85128,0.7026,0.82411,0.45365,1.45007,1.15521,1.75706,0.000911,0.000911,0.000911
13,2859.83,1.3633,1.04872,1.52758,0.8331,0.77934,0.84472,0.51173,1.35461,1.01102,1.68578,0.000812,0.000812,0.000812
14,3067.38,1.3229,0.94619,1.51345,0.868,0.79182,0.86916,0.49814,1.39698,0.95238,1.70158,0.000713,0.000713,0.000713
15,3343.48,1.29635,0.91737,1.48177,0.86161,0.81006,0.87966,0.48381,1.40545,0.95682,1.69537,0.000614,0.000614,0.000614
16,3940.71,1.28795,0.869,1.46431,0.86545,0.81302,0.89176,0.5344,1.3408,0.87856,1.63953,0.000515,0.000515,0.000515
17,5204.49,1.23049,0.84204,1.41228,0.95542,0.80297,0.90113,0.5504,1.30683,0.80619,1.60613,0.000416,0.000416,0.000416
18,6478.99,1.21802,0.7936,1.41767,0.92023,0.82528,0.90349,0.54377,1.31369,0.79103,1.61404,0.000317,0.000317,0.000317
19,6807.28,1.201,0.7604,1.37826,0.92862,0.82156,0.90537,0.55302,1.27089,0.77487,1.57824,0.000218,0.000218,0.000218
20,7138.26,1.18556,0.75012,1.3909,0.93401,0.829,0.91256,0.55195,1.2701,0.74711,1.5845,0.000119,0.000119,0.000119
